897243.4375,-67426.1875
896581.5,-66084.421875
895985.3125,-64710.42578125
895390,-63336.3671875
894879.875,-61930.5390625
894495.875,-60482.40625
893933.875,-59102.7421875
893196,-57798.703125
892375.875,-56550
891417.625,-55399.75390625
890607.625,-54150.859375
890030.5625,-52769.5703125
888284.125,-50377.0546875
887178.25,-49370.875
883231.4375,-48731.609375
881829.9375,-46820.05078125
879150.0625,-45419.76953125
876085.125,-46613.7734375
877691.25,-47083.0703125
880800.0625,-50019.8515625
881809.9375,-50879.32421875
885610.0625,-51900.02734375
887050.1875,-54099.84765625
887949.75,-55199.74609375
888572.75,-58716.40234375
889122.875,-61349.42578125
889171.125,-63124.03515625
889106,-64532.3671875
888982.6875,-66099.078125
888754.875,-67577.484375
888412.375,-69010.7734375
887070.0625,-71318.9453125
886479.8125,-72519.90625
885820.25,-73899.921875
886779.75,-75269.515625
888269.875,-75150.5546875
889797.3125,-74530.0703125
891125.25,-73885.28125
892569.375,-73448.8359375
894134.75,-73218.125
897119.75,-74170.359375
897960.25,-71519.0703125
897280.25,-69889.25
897243.4375,-67426.1875
