"station","variable","season","reference_start","reference_end","n_years","baseline_mean","baseline_sd"
"WBTS","CI","spring",2004,2010,7,11374.7766,4209.6455
"WBTS","CI","summer",2004,2010,7,46609.7519,9301.8058
"WBTS","CI","fall",2004,2010,7,56549.6629,11145.6009
"WBTS","CI","winter",2004,2010,7,17381.4693,5682.2989
"WBTS","CSI","spring",2004,2010,7,3.2848,0.7103
"WBTS","CSI","summer",2004,2010,7,4.4256,0.0047
"WBTS","CSI","fall",2004,2010,7,4.9464,0.0233
"WBTS","CSI","winter",2004,2010,7,5.4902,0.0805
"WBTS","DW","spring",2004,2010,7,6.1976,0.1718
"WBTS","DW","summer",2004,2010,7,13.0807,0.6096
"WBTS","DW","fall",2004,2010,7,21.1465,3.7443
"WBTS","DW","winter",2004,2010,7,8.607,3.445
"CMTS","CI","spring",2008,2010,3,12849.7752,458.1045
"CMTS","CI","summer",2008,2010,3,27682.7147,942.4249
"CMTS","CI","winter",2008,2010,3,4496.8567,1010.3424
"CMTS","CSI","spring",2008,2010,3,2.6305,0.0146
"CMTS","CSI","summer",2008,2010,3,3.3729,0.0082
"CMTS","CSI","winter",2008,2010,3,5.0637,0.0296
"CMTS","DW","spring",2008,2010,3,1.3391,0.1102
"CMTS","DW","summer",2008,2010,3,4.8554,0.1771
"CMTS","DW","winter",2008,2010,3,1.2165,0.1539
