"station","variable","season","r_sq","dev_expl","n","scale_est","doy_edf","doy_p","year_edf","year_p","year_sig","uniformity_p","outliers_p","dispersion_p"
"WBTS","CI","phenology",0.5229,55.12,146,4224.782108,6.36,0,2.25,0.001665,TRUE,0.3636,0.035,0.64
"WBTS","CSI","phenology",0.4906,52.02,147,0.561332,5.62,0,2.88,0.002082,TRUE,0.0331,0.0033,0.626
"WBTS","DW","phenology",0.5621,58.11,237,0.550702,6.73,0,3.48,0,TRUE,0.179,1,0.648
"WBTS","CI","spring",0.7543,78.77,37,4318.058049,2.75,0,2.15,0.05588,FALSE,0.2381,1,0.606
"WBTS","CI","summer",0.1226,18.38,47,4134.408735,1,0.2757,2.21,0.04848,TRUE,0.4309,0.0897,0.78
"WBTS","CI","fall",0.4771,52.43,35,1777.885025,1,0.219,2.07,0.0001714,TRUE,0.4273,1,0.768
"WBTS","CI","winter",0.6972,76.42,27,542.46791,3.45,0.000296,2.3,0.0004217,TRUE,0.6266,1,0.448
"WBTS","CSI","spring",0.4838,57.33,38,1.021663,3.9,0.005452,2.52,0.0005757,TRUE,0.5197,1,0.418
"WBTS","CSI","summer",0.1896,22.94,47,0.280255,1,0.0009232,1.26,0.8012,FALSE,0.1366,1,0.842
"WBTS","CSI","fall",0.3257,40.34,35,0.011155,1.64,0.00358,2.28,0.1668,FALSE,0.173,1,0.686
"WBTS","CSI","winter",0.4695,55.36,27,0.325067,2.59,0.001593,1.53,0.5176,FALSE,0.6697,1,0.592
"WBTS","DW","spring",0.6625,68.27,65,0.499649,2.82,0,1,0.2675,FALSE,0.8479,1,0.74
"WBTS","DW","summer",0.2581,32.03,75,0.452715,3.87,0.06608,2.33,0.002661,TRUE,0.8358,1,0.648
"WBTS","DW","fall",0.7754,78.96,53,0.261459,1,0.9607,2.29,0,TRUE,0.999,1,0.794
"WBTS","DW","winter",0.6835,72.37,44,0.185487,2.8,0.0004332,2.66,0,TRUE,0.5995,1,0.564
"CMTS","CI","phenology",0.4009,42.04,170,2441.269766,4.48,0,1,6.494e-05,TRUE,0.1679,0.2882,0.786
"CMTS","CSI","phenology",0.5302,55.59,171,0.539939,6.97,0,2.31,0.003906,TRUE,0.0634,0.2897,0.612
"CMTS","DW","phenology",0.5289,53.95,308,0.272867,5.93,0,1,0.03174,TRUE,0.4857,0.4599,0.76
"CMTS","CI","spring",0.3607,42.72,25,3322.428405,1,0.0007293,1.5,0.6035,FALSE,0.7278,1,0.736
"CMTS","CI","summer",0.1437,16.39,86,2719.922358,1,0.02925,1,0.002798,TRUE,0.7582,1,0.916
"CMTS","CI","winter",0.3981,44.23,59,1528.448529,2.63,6.247e-06,1.63,0.003495,TRUE,0.4438,0.1113,0.718
"CMTS","CSI","spring",0.2477,30.78,26,0.656069,1,0.004016,1,0.7167,FALSE,0.7925,1,0.832
"CMTS","CSI","summer",0.2368,26.25,86,0.393727,1,0.01956,1.86,0.0003276,TRUE,0.3055,1,0.86
"CMTS","CSI","winter",0.1211,16.17,59,0.610393,1.68,0.01307,1,0.2115,FALSE,0.0225,0.1113,0.852
"CMTS","DW","spring",0.3548,37.83,56,0.220314,1,1.319e-05,1,0.01135,TRUE,0.8916,1,0.894
"CMTS","DW","summer",0.0899,12.57,134,0.23867,3.15,0.1045,2.09,0.02376,TRUE,0.9549,0.2351,0.778
"CMTS","DW","winter",0.5885,60.47,118,0.279206,3.02,0,1.59,0.004581,TRUE,0.5403,1,0.766
