"station","variable","season","current_year","current_value","current_anomaly","current_z","status","trend_slope","trend_p","trend_direction"
"WBTS","CI","spring",2025,6168.7017,-5195.2561,-1.3093,"0",-2357.225384,1.9e-05,"down"
"WBTS","CI","summer",2025,36054.8483,-10651.9947,-1.1509,"0",-3490.388631,3e-06,"down"
"WBTS","CI","fall",2025,24971.0751,-31508.2764,-2.8226,"-",559.422499,0.001172,"up"
"WBTS","CI","winter",2025,6699.4915,-10729.5145,-1.8796,"-",207.672158,2e-06,"up"
"WBTS","DW","spring",2025,4.8479,-1.3917,-7.5178,"0",-0.071359,0,"down"
"WBTS","DW","summer",2025,7.91,-5.1789,-8.3474,"-",-0.940077,0,"down"
"WBTS","DW","fall",2025,6.7206,-14.4311,-3.8132,"-",-0.090631,0.001946,"down"
"WBTS","DW","winter",2025,3.2822,-5.2957,-1.5432,"-",0.046582,0.010289,"up"
"CMTS","CI","spring",2025,5621.1693,-5293.9162,-16.5749,"0",-1086.276657,1e-06,"down"
"CMTS","CI","summer",2025,14652.3634,-13059.9545,-13.6255,"-",-717.798683,1e-06,"down"
"CMTS","CI","winter",2025,74.3685,-4109.244,-3.851,"-",-8.595709,0.010986,"down"
"CMTS","DW","spring",2025,3.6809,2.4232,22.1448,"+",0.173683,2e-06,"up"
"CMTS","DW","summer",2025,3.5014,-1.3261,-7.6556,"-",-0.213061,1e-06,"down"
"CMTS","DW","winter",2025,0.3276,-0.8217,-5.2502,"-",-0.009852,1.9e-05,"down"
